song_id,valence_mean,valence_std,arousal_mean,arousal_std,tempo,zcr,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,label
18,4.8,1.72,3.9,1.37,92.28515625,0.08674627084943329,2179.635495943536,-184.69547,98.663315,18.290394,29.397089,-11.633429,15.319718,-3.9671588,0.5582306,-14.974388,7.7757573,-4.9304996,4.859579,-5.4315763,0.24409507,0.16630867,0.24256524,0.33863825,0.5189162,0.33319268,0.26258343,0.2421193,0.25428095,0.28468564,0.31404313,0.50430214,0
19,5.9,1.64,4.3,1.9,123.046875,0.06866543170103093,1639.0207573375794,-67.36325,139.20541,-15.406949,26.284483,7.890966,3.864345,3.2025013,3.6212578,2.8029132,6.574209,-6.652071,6.372441,-4.801351,0.37220654,0.34174812,0.43353936,0.5170272,0.44226944,0.4796336,0.24584794,0.28919443,0.4749887,0.4097868,0.57925016,0.39962268,1
20,5.4,2.5,6.5,2.11,112.34714673913044,0.11122040109536083,2207.6587384240556,-122.69153,90.393105,7.503728,46.314564,13.101661,5.3705983,0.56290704,6.6281543,-2.3802419,5.9619193,-1.9220048,2.0369236,2.6451278,0.3745108,0.3166131,0.4072932,0.36331418,0.3790786,0.25448877,0.26711652,0.35364547,0.35928425,0.5072063,0.35373634,0.30310228,0
21,6.6,0.92,6.3,1.42,135.99917763157896,0.07147119316718187,1668.4645268389977,-85.238655,118.40587,0.0006368284,22.948833,-10.737645,5.7620993,-1.7876868,2.970451,-13.419138,-4.4737315,-6.070029,4.9366183,-8.151047,0.17823556,0.17720345,0.30584353,0.7951527,0.26963633,0.20036271,0.21876644,0.22420861,0.08002196,0.19402993,0.5256707,0.20306401,0
22,4.0,1.34,4.8,1.47,99.38401442307692,0.07366377053801547,1584.1226617442887,-133.05272,134.36331,-21.863472,34.980694,10.512075,1.5529033,5.106872,4.5515,0.8002413,1.1780822,-4.220489,-2.745922,-1.5298531,0.3753155,0.35645434,0.48345682,0.36663613,0.4365016,0.35833743,0.35275623,0.48662725,0.5052649,0.62611717,0.28862303,0.32102004,0
24,5.3,1.62,3.9,1.76,95.703125,0.08144083470182896,2074.729322643467,-99.566505,92.03685,-12.129534,35.32308,-11.491461,8.6226225,-3.548745,5.5406075,-11.302999,-5.904124,-15.082676,-8.674537,-5.1338983,0.18969965,0.28117925,0.20165637,0.18957332,0.23606397,0.27671593,0.406653,0.24275862,0.26428032,0.29122147,0.38009384,0.2452002,1
25,7.9,0.7,4.7,2.53,71.77734375,0.10406151387815558,2306.5735745782717,-80.69896,84.8595,-17.650585,45.271637,2.2302427,14.147634,0.87282485,13.100031,3.6998043,1.9997115,2.5252488,2.6913548,-4.787385,0.33756477,0.3065498,0.3095313,0.3293091,0.43637806,0.5405671,0.605786,0.72171384,0.6035774,0.47789857,0.35264036,0.29731297,1
31,4.7,1.55,3.8,1.54,83.35433467741936,0.09375906088917525,2363.115424386191,-134.77518,82.444305,13.481018,23.750463,11.327714,25.37139,7.5810146,12.5986,1.1521517,3.1831641,-0.35163066,5.110436,-1.9086192,0.3326099,0.37813193,0.44753593,0.43663132,0.4392129,0.37215132,0.31962654,0.27532867,0.3061638,0.31450877,0.41536406,0.44266653,0
32,4.2,1.78,3.3,1.49,71.77734375,0.12626097374355671,1726.3187467118155,-75.759735,135.7999,-78.179306,31.274569,3.6351569,-4.195203,3.1033146,9.4332075,-11.403007,-1.665504,-3.3812408,4.2390556,-11.067678,0.6607865,0.32122993,0.3651993,0.30464268,0.38296545,0.23062152,0.2657843,0.26938158,0.23046462,0.30976188,0.1445835,0.23212728,0
35,4.8,2.14,6.5,2.11,95.703125,0.07021162376030397,1795.3971501995527,-112.34568,105.504944,12.813143,20.082058,1.1691506,20.368206,-1.3750619,-6.198045,-7.99051,-5.9950953,-8.228346,4.003048,-5.4488516,0.15882456,0.20247582,0.41550103,0.26179925,0.26149637,0.45578203,0.34142387,0.18254766,0.14320539,0.21461837,0.27641112,0.1936867,0
37,6.6,2.11,5.3,2.0,135.99917763157896,0.07797247503221649,1972.6545992430242,-79.925415,108.694984,-25.457579,40.99376,-1.2617263,3.1215274,2.6284366,6.147452,2.3730686,-0.53992146,-2.7072515,6.218893,-2.2810016,0.37259907,0.32508856,0.37568563,0.39378127,0.41775623,0.336515,0.35560358,0.3342782,0.42680827,0.47992575,0.57326335,0.6658982,0
39,7.3,1.85,5.4,2.37,123.046875,0.1592362888813756,2513.6184306147566,-35.678844,77.95766,-39.76151,34.346558,-10.526577,3.6874032,-4.22093,-4.3187523,-10.798982,0.8845934,-3.952042,5.709366,-6.074864,0.23220387,0.24492905,0.43397498,0.39181945,0.5340526,0.34749544,0.36503756,0.34689593,0.2815265,0.36447477,0.2835286,0.39852068,0
40,4.6,1.28,4.8,1.54,123.046875,0.0543164464998712,1550.257710207996,-185.59328,123.8744,5.900586,32.78373,6.9790077,9.747193,-2.9546716,2.8089774,-1.5715945,-1.0694821,-5.3304076,0.048652533,-1.7888687,0.3679155,0.29254746,0.34230226,0.34371862,0.369367,0.2557027,0.33466786,0.40619993,0.2729052,0.31235284,0.31379607,0.40943512,0
41,4.3,1.62,5.1,1.3,112.34714673913044,0.07600903068621134,1581.357541532158,-69.16498,137.58679,-29.863237,29.709656,6.5606546,0.8231716,-5.13839,-3.8790195,-7.304817,1.7469637,-6.3340235,-1.1219926,-5.8320026,0.35129914,0.6472911,0.356984,0.3864386,0.46443856,0.42953095,0.5820991,0.43232295,0.52939963,0.35003668,0.2138314,0.27144766,0
42,6.1,1.58,5.1,1.92,107.666015625,0.07428393806378866,1644.5498724827933,-82.11519,126.39826,-21.965641,32.59935,13.198444,10.199459,5.313785,7.4672136,-5.6930814,8.253882,0.25973585,1.6233137,2.4012966,0.3777871,0.35106218,0.51172,0.37145567,0.43400323,0.33614442,0.4914946,0.5775684,0.53195596,0.70941955,0.52850085,0.48377943,0
43,6.7,2.33,3.5,1.5,112.34714673913044,0.07917505637886597,1766.5420658467738,42.764454,124.889786,-34.087017,28.914055,1.1187695,17.89697,2.1227028,18.66099,-0.80282307,9.950472,0.67307884,4.3683925,1.1667193,0.4599411,0.6546954,0.5114653,0.52973026,0.42223015,0.32967216,0.3658826,0.29943082,0.4364217,0.3245657,0.38624316,0.4903114,1
44,3.9,1.04,4.9,1.58,117.45383522727273,0.06149147269652062,1655.2838364871534,-155.37285,121.95672,3.7037313,23.692884,-1.2699208,3.8570087,-6.0887213,-8.99883,-14.185078,2.4349394,-3.105124,3.900612,2.8722756,0.26741493,0.32375982,0.5555242,0.29590255,0.41483837,0.43583217,0.28560296,0.26662037,0.25783283,0.395217,0.28393126,0.23953226,0
45,5.1,2.43,2.1,1.37,184.5703125,0.07439081819938176,1357.2590485657095,-41.7696,183.70453,-72.16748,37.973034,0.8586962,-3.9814281,-1.3761433,9.381743,5.480871,1.7218323,-2.1568005,-7.9709888,-4.269144,0.3215716,0.20775361,0.28178984,0.29661563,0.37748486,0.41678724,0.38977233,0.26333386,0.3100546,0.52979594,0.3337942,0.4968217,1
46,5.3,1.95,4.0,1.73,89.10290948275862,0.07401764859858248,1816.1689175132738,-149.70393,119.27783,-6.784068,28.582865,19.732655,6.7831135,-8.189752,4.5158806,-3.7595572,-5.4028983,-5.820727,-3.8987586,-6.140325,0.29713222,0.58952636,0.6266426,0.31515625,0.25765938,0.2228625,0.33131707,0.3410056,0.32199574,0.35029534,0.30236825,0.2754765,1
47,4.4,1.74,4.4,1.56,161.4990234375,0.06332705782860824,1620.7787662028024,-119.37346,129.07516,-25.372,49.372368,8.805219,0.9933108,11.292657,4.884998,5.6987867,2.2580285,-2.962333,8.032683,-5.100664,0.4443024,0.28517976,0.29370147,0.37261295,0.59617484,0.44368872,0.49393255,0.3847525,0.26205808,0.33442935,0.41316056,0.57640094,0
48,4.5,1.86,4.8,1.78,103.359375,0.08693545626610824,1708.1402942883913,-125.709694,120.81621,-24.829306,50.16168,22.761112,1.372218,0.7929388,4.838976,-4.398055,1.4333277,-6.09923,1.0224968,-3.2950435,0.4260118,0.55933046,0.5504976,0.74997586,0.5137874,0.43927464,0.41714585,0.39891,0.46195918,0.432867,0.5011265,0.29664513,0
49,3.9,1.3,5.3,1.19,107.666015625,0.06672170836553323,1463.303809537843,-96.655464,142.80888,-21.124008,-1.6172687,11.29632,-4.38054,-1.3056363,-0.1665689,-23.250845,9.403006,-20.285261,-7.4738374,-8.979903,0.2025376,0.30135497,0.25893676,0.26644453,0.56584585,0.2872225,0.372063,0.4559116,0.37892252,0.43357104,0.16708691,0.1392532,0
50,3.6,1.02,4.8,1.08,95.703125,0.029202539364374034,864.4710998676333,-315.45404,113.65815,36.59808,38.17329,20.050568,15.615886,12.040208,8.947753,4.8500047,2.9377,-2.1346328,-0.5462267,-0.49184617,0.20979051,0.2945296,0.39370874,0.36064193,0.33574226,0.21432628,0.19872761,0.30449808,0.38303578,0.4492131,0.38488623,0.22683063,0
51,3.6,1.11,3.2,0.98,117.45383522727273,0.043918619455905104,1205.1689856586897,-197.31232,124.39683,4.6279273,48.64529,13.69588,29.071396,5.5448465,11.567165,0.83442694,0.8718663,-0.44004333,-0.8190908,-5.011047,0.42254,0.34100723,0.36634144,0.31744984,0.37934476,0.27229273,0.34729296,0.51226866,0.44425437,0.4424324,0.37935007,0.4642954,0
52,4.6,1.11,5.1,1.81,112.34714673913044,0.06727640190301391,1738.6942597052762,-8.532457,113.92738,-12.197437,33.688957,3.882236,22.116524,1.7133857,12.604111,-1.0726687,10.467797,0.29197067,-0.35901377,-0.00053362525,0.5585322,0.4193292,0.30076736,0.34064886,0.4135883,0.54600525,0.45680085,0.45505556,0.40585563,0.38283542,0.43467525,0.4241461,0
53,4.3,2.37,5.1,1.7,112.34714673913044,0.07612659389489954,1452.8196208616403,-157.07039,144.83315,-13.522108,19.716684,10.551761,0.032963954,-12.138087,3.2606652,-14.212698,2.5061958,-1.8395818,0.8786287,4.489067,0.2671473,0.40391856,0.42912626,0.4394903,0.6252969,0.36323893,0.38985053,0.30286348,0.4535964,0.3769067,0.23944835,0.40726274,0
54,3.1,1.58,3.3,1.62,75.99954044117646,0.04162673163659794,1257.744077736968,-205.64288,142.63547,-8.815357,20.96316,22.202942,9.983561,5.9260683,23.226671,3.7703197,14.8197365,3.5571244,-0.9845416,4.4803348,0.6249545,0.39049837,0.28729135,0.24586765,0.2964898,0.31982812,0.3440356,0.4468017,0.38098666,0.38722873,0.41940102,0.5574648,0
55,5.8,1.33,5.4,1.11,135.99917763157896,0.07457464159149485,1308.31070419898,-184.87825,163.2838,-55.916294,40.30181,-2.5672593,2.7918599,5.80816,-7.2792044,2.9349616,-10.431735,-4.9800477,-2.6299295,-6.6315265,0.18647142,0.40161368,0.23812199,0.22357325,0.1885416,0.29181486,0.4499276,0.23940255,0.20308964,0.26672652,0.33246788,0.23024711,0
56,6.4,1.43,5.8,1.4,92.28515625,0.113672428435729,2048.885297009409,-25.41714,109.09148,-19.087387,22.565603,6.712496,7.64969,1.3542414,-3.491569,-0.89727604,-0.1513671,-0.0152012445,2.3777587,-4.8413224,0.35707963,0.20091677,0.30029592,0.48019797,0.28398046,0.39237645,0.23288807,0.38555047,0.17238691,0.252239,0.58429205,0.34357095,0
58,3.3,1.55,3.4,1.56,151.99908088235293,0.059756312419458765,1625.6204671787416,-177.69382,94.586044,1.1028246,44.02769,28.953339,32.474262,14.525641,14.001741,5.445213,12.550594,12.308424,6.4639926,-3.5797396,0.4220532,0.32413065,0.26887736,0.35551128,0.39518353,0.31609517,0.35367325,0.28591713,0.3395883,0.28935733,0.420089,0.45835614,0
59,5.3,1.73,4.1,1.92,99.38401442307692,0.08999199621456186,1814.9816115543895,12.372054,125.42807,-40.640858,23.68067,-6.1744995,13.617804,-2.2968,11.18726,-7.737329,5.3342924,-3.5680647,0.9451741,-3.4793463,0.34149495,0.31045535,0.6252513,0.35020205,0.37753063,0.4020224,0.33210382,0.32944113,0.29150298,0.5165724,0.29076362,0.251903,1
60,4.3,1.49,6.4,0.49,99.38401442307692,0.07347639143804739,1654.7771665483506,-137.12688,118.025375,-20.819164,31.87097,3.0993066,18.612524,4.2301126,6.10538,-11.544488,-8.320123,-11.025064,6.9059677,-6.6112556,0.4083828,0.518798,0.6894597,0.3503055,0.42585757,0.35402933,0.31013268,0.31636798,0.29865164,0.48070985,0.32444045,0.3294562,0
62,6.2,0.87,3.9,1.22,151.99908088235293,0.13270256753928386,2008.7027591305455,-110.90763,119.56539,-65.01361,27.678568,-0.9784821,28.862144,-4.0095778,2.9463227,5.9720907,-3.1419256,-3.4874663,0.77156717,-3.169692,0.5960318,0.423071,0.48291877,0.41988045,0.33730978,0.2884166,0.40139395,0.47459993,0.4169492,0.35261098,0.26606843,0.36334035,1
64,3.6,1.28,4.9,1.58,117.45383522727273,0.07390161887886598,1868.4580556288981,-102.03148,113.685425,4.095791,23.835535,5.6705914,11.701951,2.350373,-0.5114294,-3.6221337,4.181381,-5.2116218,2.0018997,-3.669843,0.2766311,0.2031761,0.31078267,0.45445716,0.7331298,0.4192994,0.41546166,0.49468604,0.42426538,0.4860569,0.3108683,0.3405475,0
65,6.4,1.43,5.8,1.83,172.265625,0.10132666519007733,2113.8109988725546,-115.97453,98.36916,-18.120445,37.516655,2.8537216,4.5548043,-1.6586806,5.847206,-0.68446714,-1.4821674,-1.0909581,5.2083445,-4.135929,0.3534791,0.44166905,0.61251265,0.40830985,0.4572049,0.44624284,0.34416175,0.3321633,0.41297412,0.4457288,0.26583108,0.30182728,0
67,7.2,0.75,6.8,1.4,117.45383522727273,0.10459507623325605,2244.499461627995,-83.58054,96.112976,-18.216917,33.926334,-3.6743467,7.5896726,-1.3579451,9.216373,-5.574856,2.0889142,-3.732052,5.560767,-4.404994,0.36673117,0.38000897,0.41721785,0.39934182,0.47045842,0.34471682,0.32966062,0.34365478,0.4574524,0.5561352,0.4364336,0.43921518,0
68,3.8,1.33,4.9,1.64,184.5703125,0.06662032900244719,1494.0888403890717,-128.4168,131.71121,-11.422827,23.696821,0.8446589,18.390808,-2.298717,-4.9063225,-10.545006,-3.8762763,-14.447361,-1.8330607,-17.856611,0.15519705,0.10744899,0.26762113,0.58691865,0.24521038,0.14014764,0.1157887,0.22758335,0.33425167,0.29737112,0.756328,0.3536167,0
69,3.2,0.87,3.9,0.83,117.45383522727273,0.08333861612892839,1248.0905590172051,-350.88486,178.70905,-67.22179,14.799118,22.018164,-59.108948,-14.337192,-6.1045427,-47.535904,-14.130467,-7.9135537,-32.956696,-11.177708,0.16200447,0.20641924,0.31204402,0.27349433,0.49361643,0.34687287,0.21991965,0.23564108,0.33116674,0.5841798,0.23387736,0.120740004,0
70,4.4,1.69,3.6,1.43,117.45383522727273,0.0699910041537867,1883.9605844625958,-112.82854,105.36788,-11.960886,34.905064,11.295629,9.989465,1.045939,4.2629147,-5.0339193,0.9988481,-6.1086764,5.138409,-8.221914,0.2029477,0.36247027,0.53846127,0.42753708,0.3376748,0.25563228,0.29524687,0.35202378,0.3562847,0.53764266,0.3649395,0.24152847,0
71,5.9,1.51,3.7,0.78,117.45383522727273,0.0730884040753866,1817.8001233522446,41.69218,119.25659,-20.522957,16.813824,0.6344031,15.115124,-2.294939,13.476641,-3.0531018,5.21029,-3.0676422,4.03064,-4.0942736,0.46785256,0.25356945,0.2966034,0.32477057,0.3955675,0.27741972,0.26710683,0.32055706,0.2673735,0.38966987,0.28556076,0.3770025,1
72,6.7,1.73,5.6,2.01,143.5546875,0.1318942998132406,2677.4012350920707,-3.4018784,79.09472,-6.8057175,25.902887,5.7356973,4.681191,-2.6477897,7.826493,-4.369517,0.23967837,-2.2167516,0.5279716,-4.6211977,0.38268533,0.3463553,0.3781164,0.36696365,0.51420605,0.32400674,0.28357244,0.35189125,0.36033046,0.4677799,0.373319,0.40033796,0
73,5.8,1.72,5.6,1.74,107.666015625,0.06351706393289541,1534.310947737111,-152.15456,115.44632,-0.45556363,38.75672,22.31421,8.900943,-6.2403975,6.957767,-11.117162,8.502283,-1.9472858,-1.6027793,-3.9168239,0.32212347,0.2055142,0.24663623,0.24508096,0.4246797,0.23772895,0.25442782,0.33483627,0.2170467,0.16495699,0.2678269,0.48800886,0
74,3.0,1.67,4.3,1.42,117.45383522727273,0.08595461501288659,1670.7517414669971,-308.28543,111.74003,13.6149645,15.69998,13.144098,-1.3366477,-8.074001,-5.4633207,-10.388653,1.8482457,-5.1335735,-3.654699,-1.679981,0.42939064,0.37203005,0.3453156,0.3459293,0.3666188,0.3755821,0.4057528,0.35216883,0.360716,0.3755901,0.4223608,0.46959537,0
76,4.3,1.42,3.2,1.83,198.76802884615384,0.02266128382731959,718.1738319244719,-138.11256,198.55713,-11.208658,30.528048,25.941011,2.6311996,3.0130844,7.033313,6.0260344,0.8066497,-0.99326026,-1.327058,-0.80354375,0.35382792,0.48663318,0.5911537,0.5317341,0.4127804,0.4928629,0.48234662,0.5666107,0.5627946,0.41504243,0.32997206,0.39793557,0
77,4.2,2.04,2.9,1.14,123.046875,0.08790245449420103,2030.7122759508459,-19.221756,108.20098,-15.89356,15.276985,-8.752624,16.30173,-12.41867,7.16662,-9.688792,1.9221643,-5.9365296,-5.2979116,-3.771006,0.3129428,0.3003868,0.6009417,0.29208273,0.20366196,0.3199472,0.35680932,0.49951473,0.31533352,0.30996472,0.30232614,0.28188705,0
78,3.4,1.56,3.9,1.92,99.38401442307692,0.0428295646746134,1429.0328149498355,-291.34842,116.071945,35.670113,30.200148,16.502636,7.4722686,14.063911,4.349279,5.154485,-1.3434383,-1.0794629,0.035564117,-8.675608,0.30645236,0.42041034,0.44829398,0.26304954,0.17290604,0.13583969,0.17214654,0.28854525,0.44207668,0.46750888,0.3012424,0.25700974,0
79,5.5,2.11,5.5,1.36,151.99908088235293,0.12375966494845361,2579.5529787865266,-132.11023,74.93961,-11.816385,39.548626,2.2551723,8.499049,1.8493245,4.110214,-11.434457,13.048774,-10.716346,7.2470846,-0.7187382,0.4394682,0.3674085,0.52765536,0.43684703,0.3642676,0.50244755,0.38182878,0.3021142,0.2749847,0.31687072,0.32593518,0.34582692,0
80,6.0,1.34,5.1,1.37,83.35433467741936,0.08120663076378155,2113.97259919361,-102.95764,97.26428,11.536253,33.759212,4.542971,13.971693,-8.864016,10.232655,-6.5438957,1.6792737,-5.5509195,-0.84653276,-3.8388028,0.43996474,0.33008817,0.3323319,0.34194192,0.5414909,0.3253741,0.33959216,0.51782364,0.5527122,0.6842762,0.43194935,0.35554272,0
81,6.1,1.92,3.9,1.7,123.046875,0.08707741019652061,1992.6919860408389,2.8160918,101.98561,-10.780617,35.32533,3.2007551,20.254465,5.5888867,16.611855,0.81264347,9.169441,-0.7476521,0.050163064,-1.0666785,0.36352617,0.2732804,0.3287489,0.31671935,0.47277328,0.31743163,0.28455278,0.3876044,0.5105808,0.55280304,0.42126054,0.50229096,1
82,2.9,1.45,3.5,1.63,63.02400914634146,0.04697466978092783,1610.4571465830334,-231.59375,106.624466,63.59156,25.768143,0.3705793,11.036427,-0.08128876,4.585121,-10.469729,6.43793,-7.4818263,10.31773,-8.857948,0.3515191,0.25501183,0.16177134,0.21297708,0.3321206,0.2056974,0.10000535,0.124915875,0.1994804,0.21807808,0.29611933,0.51609993,0
83,6.1,1.04,5.8,1.72,129.19921875,0.1433216212951031,2498.1446376328367,-148.7684,87.44952,-34.598507,39.379787,-13.052274,4.111579,-9.451184,10.514751,-9.772963,-4.343691,-4.3680754,-3.8119786,-4.4342422,0.3515146,0.4879276,0.28411597,0.33200732,0.43342397,0.42016813,0.6330785,0.3323882,0.29198858,0.36429486,0.360742,0.46261403,0
84,5.9,2.02,5.6,1.74,161.4990234375,0.12721952883500773,2413.8653958095197,-56.065834,85.32494,-18.028217,42.877407,7.1433682,-0.61307484,-6.0827084,6.2537584,-10.066597,4.4935207,-3.4923983,6.8601556,-5.33342,0.32507747,0.33721972,0.3320555,0.35056728,0.51618415,0.42628208,0.39063618,0.40428448,0.42466867,0.5377527,0.40659314,0.37575284,0
85,7.1,1.14,6.2,1.6,161.4990234375,0.09651029921069587,2278.0039507642755,-101.27238,94.20578,-4.618722,24.922697,-4.524914,8.789612,-0.41968957,12.233549,-4.190643,2.0533497,-6.018831,7.397584,0.06730325,0.44779825,0.46031448,0.6321902,0.52050054,0.61348677,0.53151655,0.37048224,0.28010076,0.3041427,0.29842025,0.32724306,0.5678534,0
86,5.4,1.62,5.6,1.2,99.38401442307692,0.12741373446354973,2918.633550494584,-106.12474,69.51735,23.406126,20.47666,14.145389,19.872362,3.4382777,8.206799,1.2122933,4.6796336,0.6815918,5.5910263,1.4599289,0.36058617,0.37173522,0.48867807,0.46846873,0.59050274,0.55096996,0.40942827,0.32326707,0.37158498,0.4739658,0.47801703,0.47011846,0
87,5.3,2.45,2.6,0.92,95.703125,0.05631133074124163,1135.1579267959844,-60.245823,194.70325,-52.923668,26.32654,12.521933,-2.5365589,-5.8032675,9.761575,-0.622439,2.3885083,-4.261562,-4.9746494,-2.4929407,0.4020757,0.3051486,0.2610247,0.3779529,0.6153088,0.38173783,0.23486325,0.29823267,0.38410974,0.43907356,0.35400608,0.45493212,1
88,6.7,1.73,5.5,1.28,129.19921875,0.06627839078608247,1981.9738624442934,-59.070652,98.456406,3.0271451,41.382366,17.119293,15.802072,1.8185202,10.074579,1.093821,9.73434,4.4431353,2.7136421,-4.2716594,0.35422614,0.24577774,0.31473053,0.39770317,0.63787735,0.4918177,0.34945813,0.4685098,0.47813913,0.5233859,0.47757992,0.5338732,0
89,4.5,2.29,4.8,2.04,83.35433467741936,0.06490015013201958,1530.8961280875562,-145.42378,130.03775,-28.930574,48.555428,13.531244,6.1171603,1.3814348,1.1955903,-3.093019,0.40963173,-3.955878,-4.8168263,-5.454657,0.27325442,0.5875205,0.9361372,0.4038486,0.4234159,0.5203856,0.19563952,0.12465556,0.1690462,0.26569736,0.16297813,0.1573072,0
90,4.3,1.73,4.2,1.72,99.38401442307692,0.046859151613214835,1544.0556300447056,-197.5187,106.51092,7.1426873,20.688986,20.574625,17.948706,11.477924,12.780588,12.963979,10.895952,2.3380306,7.58328,6.167701,0.5133296,0.3733413,0.35752282,0.23607501,0.28046906,0.3104891,0.53246456,0.4315563,0.3647564,0.40667772,0.49225295,0.69149655,0
91,4.5,1.43,5.5,1.2,117.45383522727273,0.09747965369010819,2405.9817774453386,-268.75394,87.4742,35.807446,27.14379,0.22721879,18.859713,-1.569335,5.781536,0.5112684,3.601674,1.0536878,0.7855991,-2.734891,0.37347656,0.40592048,0.39429355,0.3925519,0.44492397,0.5127394,0.7326394,0.6856496,0.5334235,0.48732033,0.46954605,0.40195054,0
92,5.8,2.18,4.7,1.79,103.359375,0.0924416276242916,1922.207388432556,47.437508,120.627594,-24.201422,23.116169,-4.6229973,-2.7201712,-10.97237,4.204631,-7.035297,-1.4016093,-12.253041,1.1634661,-2.0770338,0.34767932,0.35399696,0.3521846,0.33160204,0.3662678,0.24374457,0.29905334,0.28579,0.4416745,0.5345581,0.34116298,0.5445428,1
